title,company,salary,link
Senior Python developer,,N/A,https://www.work.ua/jobs/5750923/
Python Developer,Netfully,N/A,https://www.work.ua/jobs/5769618/
Python Backend Developer,N/A,54 300 – 76 900 грн,https://www.work.ua/jobs/5748761/
Python-програміст,N/A,15 000 – 20 000 грн,https://www.work.ua/jobs/5262279/
Python-програміст,,50 000 грн,https://www.work.ua/jobs/5764205/
Python Developer,,N/A,https://www.work.ua/jobs/5764040/
Trainee Python Developer,"Мельник О.І., ФОП",5 000 грн,https://www.work.ua/jobs/5165604/
Senior Python Developer,N/A,Aesthetics360,https://www.work.ua/jobs/5762254/
Odoo Python Developer,"Абитек, ООО",20 000 – 35 000 грн,https://www.work.ua/jobs/5760805/
Full-stack програміст на Python (Strong Junior),Аптека АНЦ,29 000 грн,https://www.work.ua/jobs/5055123/
Junior Python developer (cloud backend),"Codeavors, stealth German technology startup",18 713 – 37 426 грн,https://www.work.ua/jobs/4821469/
Python (BackEnd) розробник,,15 000 – 30 000 грн,https://www.work.ua/jobs/5755480/
Python-разработчик,,N/A,https://www.work.ua/jobs/5755302/
Python Developer,,80 000 – 120 000 грн,https://www.work.ua/jobs/5709947/
Python Developer,Ronis Commerce OÜ,N/A,https://www.work.ua/jobs/4957178/
Python developer,Quintagroup,N/A,https://www.work.ua/jobs/1665750/
"Python Backend Developer (Ninja, Startup from Germany)",,90 000 – 125 000 грн,https://www.work.ua/jobs/5746409/
Python developer,,30 000 – 60 000 грн,https://www.work.ua/jobs/5743270/
Senior Python developer,,228 000 грн,https://www.work.ua/jobs/5738669/
"Full stack Python DRF, VueJS developer",,30 000 – 80 000 грн,https://www.work.ua/jobs/5735108/
"Senior Software engineer (Node, Python, LLM)",N/A,N/A,https://www.work.ua/jobs/5733693/
Junior Python Developer,N/A,14 000 – 20 000 грн,https://www.work.ua/jobs/5728732/
